GISJOIN.x,YEAR,STATE,STATEA,COUNTY.x,COUNTYA,TRACTA,BLKGRPA,NAME_E,ADQSE001,ADQSE002,ADQSE003,ADQSE004,ADQSE005,ADQSE006,ADQSE007,ADQSE008,ADQSE009,ADQSE010,ADQSE011,NAME_M,ADQSM001,ADQSM002,ADQSM003,ADQSM004,ADQSM005,ADQSM006,ADQSM007,ADQSM008,ADQSM009,ADQSM010,ADQSM011,hu40,hu70,hu80,hu90,hu00,hu10,j70,j80,j90,j00,j10,i70,i80,i90,i00,i10,adj40a,adj70a,adj80a,adj90a,adj00a,adj10a,FID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,area,ham40,ham70,ham80,ham90,ham00,ham10,urb40,urb70,urb80,urb90,urb00,urb10
G13005100011002,2011-2015,Georgia,13,Chatham County,51,1100,2,"Block Group 2, Census Tract 11, Chatham County, Georgia",448,0,6,30,69,63,11,14,33,61,161,"Block Group 2, Census Tract 11, Chatham County, Georgia",59,13,8,24,34,33,13,14,28,37,58,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,269,280,343,412,442,438.1585575271895,384.8553885291397,366.19856192823147,407.1665299639365,441.6633974276251,446.24467797069076,75650,13,51,1100,2,130510011002,1115635,0,32.0665707,-81.0785917,4943.69793944,1115634.95595,0.430749064694,1017.2014136315145,893.4561211468614,850.1436031866382,945.2522671249066,1025.3380300230683,1035.973643466176,1,1,1,1,1,1
G13005100012001,2011-2015,Georgia,13,Chatham County,51,1200,1,"Block Group 1, Census Tract 12, Chatham County, Georgia",862,0,3,40,43,123,114,238,40,46,215,"Block Group 1, Census Tract 12, Chatham County, Georgia",35,13,5,30,24,57,56,64,31,28,53,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,539,653,776,819,859,585.1185706108431,771.1414662349677,854.0273604969112,921.1697587522297,877.9668021680217,867.2492723457542,75651,13,51,1200,1,130510012001,1594958,55650,32.065001,-81.108689,6354.32937906,1650605.9487,0.637302519779,918.117459842693,1210.0085003624017,1340.0658776511127,1445.4199225066104,1377.6295792341725,1360.8125582909884,1,1,1,1,1,1
G13005100015001,2011-2015,Georgia,13,Chatham County,51,1500,1,"Block Group 1, Census Tract 15, Chatham County, Georgia",750,0,0,4,42,12,62,9,106,78,437,"Block Group 1, Census Tract 15, Chatham County, Georgia",47,13,13,7,43,13,36,11,49,45,62,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,630,692,704,746,750,1189.2875132880856,901.3341813135986,905.0335887654863,835.7003996927444,799.7109089344862,757.2025078688191,75652,13,51,1500,1,130510015001,257221,0,32.0666817,-81.0930321,2073.51630646,257221.814244,0.0993138977168,11975.036129177164,9075.609779044331,9112.859424229306,8414.737704442918,8052.356491081575,7624.335820833767,1,1,1,1,1,1
G13005100020001,2011-2015,Georgia,13,Chatham County,51,2000,1,"Block Group 1, Census Tract 20, Chatham County, Georgia",363,0,0,22,15,11,5,21,0,35,254,"Block Group 1, Census Tract 20, Chatham County, Georgia",58,13,13,24,13,17,8,18,13,29,55,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,310,315,326,341,363,691.2563578379262,443.513644773358,411.9733821692604,386.98626463044695,365.551501268981,366.48601380850846,75653,13,51,2000,1,130510020001,152949,0,32.0614031,-81.0916382,1971.54851224,152949.972729,0.0590543146273,11705.433586022313,7510.26656684502,6976.177520123326,6553.056572966279,6190.089641646464,6205.914269286719,1,1,1,1,1,1
G13005100020002,2011-2015,Georgia,13,Chatham County,51,2000,2,"Block Group 2, Census Tract 20, Chatham County, Georgia",525,0,5,26,63,17,30,78,19,83,204,"Block Group 2, Census Tract 20, Chatham County, Georgia",58,13,8,18,33,20,27,43,23,42,55,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,384,414,431,494,520,555.1822716493581,549.3846438482886,541.450730851028,511.6290799255296,529.5672774981718,524.9937387890479,75654,13,51,2000,2,130510020002,416588,0,32.0604516,-81.0880079,2681.4131693,416583.852173,0.160843924559,3451.68319643748,3415.6381433404154,3366.3113626179615,3180.903980851675,3292.429471303521,3263.9948336778625,1,1,1,1,1,1
G13005100021001,2011-2015,Georgia,13,Chatham County,51,2100,1,"Block Group 1, Census Tract 21, Chatham County, Georgia",361,0,0,5,0,14,34,56,96,15,141,"Block Group 1, Census Tract 21, Chatham County, Georgia",76,13,13,8,13,22,26,47,54,19,55,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,308,342,356,356,361,383.7289230517622,440.6522664199815,447.285386355197,422.59849757189914,381.6314793306663,364.4668071208583,75655,13,51,2100,1,130510021001,303804,0,32.0591486,-81.0835093,2390.14475054,303803.210621,0.117299075408,3271.3721034632404,3756.6559232224627,3813.2047059996803,3602.7436371683216,3253.4909418786297,3107.158397055882,1,1,1,1,1,1
G13005100021002,2011-2015,Georgia,13,Chatham County,51,2100,2,"Block Group 2, Census Tract 21, Chatham County, Georgia",383,0,0,77,27,37,14,96,19,19,94,"Block Group 2, Census Tract 21, Chatham County, Georgia",73,13,13,50,27,35,23,65,23,25,49,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,228,242,279,306,383,255.81928203450812,326.1971322849214,316.5001856665429,331.1937663555052,328.0315524583817,386.6780806850103,75656,13,51,2100,2,130510021002,211101,0,32.0597913,-81.0781701,1864.18759376,211098.635755,0.081505638941,3138.669733264586,4002.14189500493,3883.1691865595935,4063.4460469078526,4024.64856076812,4744.18807961149,1,1,1,1,1,1
G13005100021003,2011-2015,Georgia,13,Chatham County,51,2100,3,"Block Group 3, Census Tract 21, Chatham County, Georgia",369,0,0,7,0,39,37,50,69,34,133,"Block Group 3, Census Tract 21, Chatham County, Georgia",76,13,13,10,13,33,33,44,47,25,66,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,286,323,362,362,369,361.9570692615913,409.17710453283996,422.4361982243527,429.72094416018956,388.0634705553405,372.543633871459,75657,13,51,2100,3,130510021003,220213,0,32.0563874,-81.0793822,1895.36150457,220215.020981,0.0850254949553,4257.041602073367,4812.40485277921,4968.347416812308,5054.0246121014,4564.083640552225,4381.552075260654,1,1,1,1,1,1
G13005100022001,2011-2015,Georgia,13,Chatham County,51,2200,1,"Block Group 1, Census Tract 22, Chatham County, Georgia",393,0,8,237,33,19,20,0,28,48,0,"Block Group 1, Census Tract 22, Chatham County, Georgia",86,13,12,73,31,30,23,13,30,49,13,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,76,96,115,148,385,0,108.73237742830713,125.55379266110793,136.5135596089,158.65578354196242,388.6972873726605,75658,13,51,2200,1,130510022001,264536,0,32.0571953,-81.0744784,2401.11173717,264537.415076,0.102138466989,0,1064.5585412988162,1229.2508039564534,1336.5538335679357,1553.3401686854097,3805.5915545954103,0,1,1,1,1,1
G13005100022002,2011-2015,Georgia,13,Chatham County,51,2200,2,"Block Group 2, Census Tract 22, Chatham County, Georgia",429,0,0,215,23,36,15,65,39,36,0,"Block Group 2, Census Tract 22, Chatham County, Georgia",102,13,13,96,27,32,25,59,26,30,13,33281,61863,77485,91178,99683,119323,43240,59246,76809,92988,118188,140,155,191,214,429,0,200.29648473635524,202.71706106741385,226.73121639391218,229.40768701337808,433.11983450096454,75659,13,51,2200,2,130510022002,619657,0,32.0524596,-81.0689549,4657.83122395,619654.652781,0.239249999021,0,837.1848926058902,847.3022440832717,947.6748895368271,958.8618096221684,1810.323244611373,0,1,1,1,1,1
