GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,MSA_CMSAA,PMSAA,NECMAA,NAME,FKI001
G0100470,2000,3,6,Alabama,1,Dallas,47,9999,9999,9999,Dallas County,20450
G0100490,2000,3,6,Alabama,1,DeKalb,49,9999,9999,9999,DeKalb County,28051
G0100510,2000,3,6,Alabama,1,Elmore,51,5240,9999,9999,Elmore County,25733
G0100530,2000,3,6,Alabama,1,Escambia,53,9999,9999,9999,Escambia County,16544
G0100550,2000,3,6,Alabama,1,Etowah,55,2880,9999,9999,Etowah County,45959
G0100570,2000,3,6,Alabama,1,Fayette,57,9999,9999,9999,Fayette County,8472
G0100590,2000,3,6,Alabama,1,Franklin,59,9999,9999,9999,Franklin County,13749
G0100610,2000,3,6,Alabama,1,Geneva,61,9999,9999,9999,Geneva County,12115
G0100630,2000,3,6,Alabama,1,Greene,63,9999,9999,9999,Greene County,5117
G0100650,2000,3,6,Alabama,1,Hale,65,9999,9999,9999,Hale County,7756
G0100670,2000,3,6,Alabama,1,Henry,67,9999,9999,9999,Henry County,8037
G0100690,2000,3,6,Alabama,1,Houston,69,2180,9999,9999,Houston County,39571
G0100710,2000,3,6,Alabama,1,Jackson,71,9999,9999,9999,Jackson County,24168
G0100730,2000,3,6,Alabama,1,Jefferson,73,1000,9999,9999,Jefferson County,288162
G0100750,2000,3,6,Alabama,1,Lamar,75,9999,9999,9999,Lamar County,7517
G0100770,2000,3,6,Alabama,1,Lauderdale,77,2650,9999,9999,Lauderdale County,40424
G0100790,2000,3,6,Alabama,1,Lawrence,79,2030,9999,9999,Lawrence County,15009
G0100810,2000,3,6,Alabama,1,Lee,81,580,9999,9999,Lee County,50329
G0100830,2000,3,6,Alabama,1,Limestone,83,3440,9999,9999,Limestone County,26897
G0100850,2000,3,6,Alabama,1,Lowndes,85,9999,9999,9999,Lowndes County,5801
G0100870,2000,3,6,Alabama,1,Macon,87,9999,9999,9999,Macon County,10627
G0100890,2000,3,6,Alabama,1,Madison,89,3440,9999,9999,Madison County,120288
G0100910,2000,3,6,Alabama,1,Marengo,91,9999,9999,9999,Marengo County,10127
G0100930,2000,3,6,Alabama,1,Marion,93,9999,9999,9999,Marion County,14416
G0100950,2000,3,6,Alabama,1,Marshall,95,9999,9999,9999,Marshall County,36331
G0100970,2000,3,6,Alabama,1,Mobile,97,5160,9999,9999,Mobile County,165101
G0100990,2000,3,6,Alabama,1,Monroe,99,9999,9999,9999,Monroe County,11343
G0101010,2000,3,6,Alabama,1,Montgomery,101,5240,9999,9999,Montgomery County,95437
G0101030,2000,3,6,Alabama,1,Morgan,103,2030,9999,9999,Morgan County,47388
G0101050,2000,3,6,Alabama,1,Perry,105,9999,9999,9999,Perry County,5406
G0101070,2000,3,6,Alabama,1,Pickens,107,9999,9999,9999,Pickens County,9520
G0101090,2000,3,6,Alabama,1,Pike,109,9999,9999,9999,Pike County,13981
G0101110,2000,3,6,Alabama,1,Randolph,111,9999,9999,9999,Randolph County,10285
G0101130,2000,3,6,Alabama,1,Russell,113,1800,9999,9999,Russell County,22831
G0101150,2000,3,6,Alabama,1,St Clair,115,1000,9999,9999,St. Clair County,27303
G0101170,2000,3,6,Alabama,1,Shelby,117,1000,9999,9999,Shelby County,59302
G0101190,2000,3,6,Alabama,1,Sumter,119,9999,9999,9999,Sumter County,6953
G0101210,2000,3,6,Alabama,1,Talladega,121,9999,9999,9999,Talladega County,34469
G0101230,2000,3,6,Alabama,1,Tallapoosa,123,9999,9999,9999,Tallapoosa County,20510
G0101250,2000,3,6,Alabama,1,Tuscaloosa,125,8600,9999,9999,Tuscaloosa County,71429
G0101270,2000,3,6,Alabama,1,Walker,127,9999,9999,9999,Walker County,32417
G0101290,2000,3,6,Alabama,1,Washington,129,9999,9999,9999,Washington County,8123
G0101310,2000,3,6,Alabama,1,Wilcox,131,9999,9999,9999,Wilcox County,6183
G0101330,2000,3,6,Alabama,1,Winston,133,9999,9999,9999,Winston County,12502
G0200130,2000,4,9,Alaska,2,Aleutians East,13,9999,9999,9999,Aleutians East Borough,724
G0200160,2000,4,9,Alaska,2,Aleutians West,16,9999,9999,9999,Aleutians West Census Area,2234
G0200200,2000,4,9,Alaska,2,Anchorage,20,380,9999,9999,Anchorage Municipality,100368
G0200500,2000,4,9,Alaska,2,Bethel,50,9999,9999,9999,Bethel Census Area,5188
G0200600,2000,4,9,Alaska,2,Bristol Bay,60,9999,9999,9999,Bristol Bay Borough,979
G0200680,2000,4,9,Alaska,2,Denali,68,9999,9999,9999,Denali Borough,1351
G0200700,2000,4,9,Alaska,2,Dillingham,70,9999,9999,9999,Dillingham Census Area,2332
G0200900,2000,4,9,Alaska,2,Fairbanks North Star,90,9999,9999,9999,Fairbanks North Star Borough,33291
G0201000,2000,4,9,Alaska,2,Haines,100,9999,9999,9999,Haines Borough,1419
G0201100,2000,4,9,Alaska,2,Juneau,110,9999,9999,9999,Juneau City and Borough,12282
G0201220,2000,4,9,Alaska,2,Kenai Peninsula,122,9999,9999,9999,Kenai Peninsula Borough,24871
G0201300,2000,4,9,Alaska,2,Ketchikan Gateway,130,9999,9999,9999,Ketchikan Gateway Borough,6218
G0201500,2000,4,9,Alaska,2,Kodiak Island,150,9999,9999,9999,Kodiak Island Borough,5159
G0201640,2000,4,9,Alaska,2,Lake And Peninsula,164,9999,9999,9999,Lake and Peninsula Borough,1557
G0201700,2000,4,9,Alaska,2,Matanuska-Susitna,170,9999,9999,9999,Matanuska-Susitna Borough,27329
G0201800,2000,4,9,Alaska,2,Nome,180,9999,9999,9999,Nome Census Area,3649
