GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,CBV001
G0500610,1970,Arkansas,5,Howard,61,Howard,4179
G0500630,1970,Arkansas,5,Independence,63,Independence,8349
G0500650,1970,Arkansas,5,Izard,65,Izard,3188
G0500670,1970,Arkansas,5,Jackson,67,Jackson,7091
G0500690,1970,Arkansas,5,Jefferson,69,Jefferson,28140
G0500710,1970,Arkansas,5,Johnson,71,Johnson,5258
G0500730,1970,Arkansas,5,Lafayette,73,Lafayette,3791
G0500750,1970,Arkansas,5,Lawrence,75,Lawrence,6085
G0500770,1970,Arkansas,5,Lee,77,Lee,5566
G0500790,1970,Arkansas,5,Lincoln,79,Lincoln,3763
G0500810,1970,Arkansas,5,Little River,81,Little River,4017
G0500830,1970,Arkansas,5,Logan,83,Logan,6180
G0500850,1970,Arkansas,5,Lonoke,85,Lonoke,8888
G0500870,1970,Arkansas,5,Madison,87,Madison,3546
G0500890,1970,Arkansas,5,Marion,89,Marion,3034
G0500910,1970,Arkansas,5,Miller,91,Miller,11866
G0500930,1970,Arkansas,5,Mississippi,93,Mississippi,19818
G0500950,1970,Arkansas,5,Monroe,95,Monroe,5007
G0500970,1970,Arkansas,5,Montgomery,97,Montgomery,2352
G0500990,1970,Arkansas,5,Nevada,99,Nevada,3813
G0501010,1970,Arkansas,5,Newton,101,Newton,2276
G0501030,1970,Arkansas,5,Ouachita,103,Ouachita,11078
G0501050,1970,Arkansas,5,Perry,105,Perry,2217
G0501070,1970,Arkansas,5,Phillips,107,Phillips,12351
G0501090,1970,Arkansas,5,Pike,109,Pike,3356
G0501110,1970,Arkansas,5,Poinsett,111,Poinsett,8922
G0501130,1970,Arkansas,5,Polk,113,Polk,5185
G0501150,1970,Arkansas,5,Pope,115,Pope,9861
G0501170,1970,Arkansas,5,Prairie,117,Prairie,3586
G0501190,1970,Arkansas,5,Pulaski,119,Pulaski,97935
G0501210,1970,Arkansas,5,Randolph,121,Randolph,4656
G0501230,1970,Arkansas,5,St Francis,123,St Francis,9020
G0501250,1970,Arkansas,5,Saline,125,Saline,11621
G0501270,1970,Arkansas,5,Scott,127,Scott,3024
G0501290,1970,Arkansas,5,Searcy,129,Searcy,3025
G0501310,1970,Arkansas,5,Sebastian,131,Sebastian,28536
G0501330,1970,Arkansas,5,Sevier,133,Sevier,4164
G0501350,1970,Arkansas,5,Sharp,135,Sharp,4379
G0501370,1970,Arkansas,5,Stone,137,Stone,2654
G0501390,1970,Arkansas,5,Union,139,Union,16603
G0501410,1970,Arkansas,5,Van Buren,141,Van Buren,3354
G0501430,1970,Arkansas,5,Washington,143,Washington,26479
G0501450,1970,Arkansas,5,White,145,White,13785
G0501470,1970,Arkansas,5,Woodruff,147,Woodruff,4048
G0501490,1970,Arkansas,5,Yell,149,Yell,5341
G0600010,1970,California,6,Alameda,1,Alameda,379766
G0600030,1970,California,6,Alpine,3,Alpine,521
G0600050,1970,California,6,Amador,5,Amador,5120
G0600070,1970,California,6,Butte,7,Butte,38110
G0600090,1970,California,6,Calaveras,9,Calaveras,7037
G0600110,1970,California,6,Colusa,11,Colusa,4867
G0600130,1970,California,6,Contra Costa,13,Contra Costa,178384
G0600150,1970,California,6,Del Norte,15,Del Norte,5341
G0600170,1970,California,6,El Dorado,17,El Dorado,23871
G0600190,1970,California,6,Fresno,19,Fresno,135620
G0600210,1970,California,6,Glenn,21,Glenn,6299
G0600230,1970,California,6,Humboldt,23,Humboldt,35222
G0600250,1970,California,6,Imperial,25,Imperial,23401
G0600270,1970,California,6,Inyo,27,Inyo,6135
G0600290,1970,California,6,Kern,29,Kern,110128
G0600310,1970,California,6,Kings,31,Kings,19606
G0600330,1970,California,6,Lake,33,Lake,12161
G0600350,1970,California,6,Lassen,35,Lassen,5771
G0600370,1970,California,6,Los Angeles,37,Los Angeles,2538910
G0600390,1970,California,6,Madera,39,Madera,14788
G0600410,1970,California,6,Marin,41,Marin,71241
G0600430,1970,California,6,Mariposa,43,Mariposa,3089
G0600450,1970,California,6,Mendocino,45,Mendocino,18914
G0600470,1970,California,6,Merced,47,Merced,32708
G0600490,1970,California,6,Modoc,49,Modoc,2892
G0600510,1970,California,6,Mono,51,Mono,3082
G0600530,1970,California,6,Monterey,53,Monterey,76358
G0600550,1970,California,6,Napa,55,Napa,26838
G0600570,1970,California,6,Nevada,57,Nevada,11960
G0600590,1970,California,6,Orange,59,Orange,462803
G0600610,1970,California,6,Placer,61,Placer,30441
G0600630,1970,California,6,Plumas,63,Plumas,6016
G0600650,1970,California,6,Riverside,65,Riverside,169757
G0600670,1970,California,6,Sacramento,67,Sacramento,212247
G0600690,1970,California,6,San Benito,69,San Benito,5925
G0600710,1970,California,6,San Bernardino,71,San Bernardino,251445
G0600730,1970,California,6,San Diego,73,San Diego,450798
G0600750,1970,California,6,San Francisco,75,San Francisco,310402
G0600770,1970,California,6,San Joaquin,77,San Joaquin,96771
G0600790,1970,California,6,San Luis Obispo,79,San Luis Obispo,37612
G0600810,1970,California,6,San Mateo,81,San Mateo,190446
G0600830,1970,California,6,Santa Barbara,83,Santa Barbara,88806
G0600850,1970,California,6,Santa Clara,85,Santa Clara,336443
G0600870,1970,California,6,Santa Cruz,87,Santa Cruz,52006
G0600890,1970,California,6,Shasta,89,Shasta,27449
G0600910,1970,California,6,Sierra,91,Sierra,1551
G0600930,1970,California,6,Siskiyou,93,Siskiyou,13074
G0600950,1970,California,6,Solano,95,Solano,53608
G0600970,1970,California,6,Sonoma,97,Sonoma,78060
G0600990,1970,California,6,Stanislaus,99,Stanislaus,65414
G0601010,1970,California,6,Sutter,101,Sutter,14102
G0601030,1970,California,6,Tehama,103,Tehama,10701
G0601050,1970,California,6,Trinity,105,Trinity,3750
G0601070,1970,California,6,Tulare,107,Tulare,61904
G0601090,1970,California,6,Tuolumne,109,Tuolumne,11248
G0601110,1970,California,6,Ventura,111,Ventura,112133
G0601130,1970,California,6,Yolo,113,Yolo,29736
G0601150,1970,California,6,Yuba,115,Yuba,14202
G0800010,1970,Colorado,8,Adams,1,Adams,51457
G0800030,1970,Colorado,8,Alamosa,3,Alamosa,3678
G0800050,1970,Colorado,8,Arapahoe,5,Arapahoe,48925
G0800070,1970,Colorado,8,Archuleta,7,Archuleta,1211
G0800090,1970,Colorado,8,Baca,9,Baca,2262
G0800110,1970,Colorado,8,Bent,11,Bent,2126
G0800130,1970,Colorado,8,Boulder,13,Boulder,44307
G0800150,1970,Colorado,8,Chaffee,15,Chaffee,3749
G0800170,1970,Colorado,8,Cheyenne,17,Cheyenne,899
G0800190,1970,Colorado,8,Clear Creek,19,Clear Creek,2493
G0800210,1970,Colorado,8,Conejos,21,Conejos,2545
G0800230,1970,Colorado,8,Costilla,23,Costilla,1114
G0800250,1970,Colorado,8,Crowley,25,Crowley,1296
G0800270,1970,Colorado,8,Custer,27,Custer,887
G0800290,1970,Colorado,8,Delta,29,Delta,6186
G0800310,1970,Colorado,8,Denver,31,Denver,193765
G0800330,1970,Colorado,8,Dolores,33,Dolores,743
G0800350,1970,Colorado,8,Douglas,35,Douglas,2681
G0800370,1970,Colorado,8,Eagle,37,Eagle,3257
G0800390,1970,Colorado,8,Elbert,39,Elbert,1402
G0800410,1970,Colorado,8,El Paso,41,El Paso,73710
G0800430,1970,Colorado,8,Fremont,43,Fremont,7621
G0800450,1970,Colorado,8,Garfield,45,Garfield,5537
G0800470,1970,Colorado,8,Gilpin,47,Gilpin,1265
G0800490,1970,Colorado,8,Grand,49,Grand,2966
G0800510,1970,Colorado,8,Gunnison,51,Gunnison,3361
G0800530,1970,Colorado,8,Hinsdale,53,Hinsdale,651
G0800550,1970,Colorado,8,Huerfano,55,Huerfano,2855
G0800570,1970,Colorado,8,Jackson,57,Jackson,845
G0800590,1970,Colorado,8,Jefferson,59,Jefferson,72055
G0800610,1970,Colorado,8,Kiowa,61,Kiowa,790
G0800630,1970,Colorado,8,Kit Carson,63,Kit Carson,2744
G0800650,1970,Colorado,8,Lake,65,Lake,2959
G0800670,1970,Colorado,8,La Plata,67,La Plata,6989
G0800690,1970,Colorado,8,Larimer,69,Larimer,33898
G0800710,1970,Colorado,8,Las Animas,71,Las Animas,5772
G0800730,1970,Colorado,8,Lincoln,73,Lincoln,1877
G0800750,1970,Colorado,8,Logan,75,Logan,6393
G0800770,1970,Colorado,8,Mesa,77,Mesa,18982
G0800790,1970,Colorado,8,Mineral,79,Mineral,637
G0800810,1970,Colorado,8,Moffat,81,Moffat,2490
G0800830,1970,Colorado,8,Montezuma,83,Montezuma,4480
G0800850,1970,Colorado,8,Montrose,85,Montrose,6208
G0800870,1970,Colorado,8,Morgan,87,Morgan,7032
G0800890,1970,Colorado,8,Otero,89,Otero,8015
G0800910,1970,Colorado,8,Ouray,91,Ouray,799
G0800930,1970,Colorado,8,Park,93,Park,2306
G0800950,1970,Colorado,8,Phillips,95,Phillips,1644
G0800970,1970,Colorado,8,Pitkin,97,Pitkin,2748
G0800990,1970,Colorado,8,Prowers,99,Prowers,4664
G0801010,1970,Colorado,8,Pueblo,101,Pueblo,37636
G0801030,1970,Colorado,8,Rio Blanco,103,Rio Blanco,2028
G0801050,1970,Colorado,8,Rio Grande,105,Rio Grande,3712
G0801070,1970,Colorado,8,Routt,107,Routt,3092
G0801090,1970,Colorado,8,Saguache,109,Saguache,1614
G0801110,1970,Colorado,8,San Juan,111,San Juan,372
G0801130,1970,Colorado,8,San Miguel,113,San Miguel,983
G0801150,1970,Colorado,8,Sedgwick,115,Sedgwick,1382
G0801170,1970,Colorado,8,Summit,117,Summit,2198
G0801190,1970,Colorado,8,Teller,119,Teller,2190
G0801210,1970,Colorado,8,Washington,121,Washington,2141
G0801230,1970,Colorado,8,Weld,123,Weld,28896
G0801250,1970,Colorado,8,Yuma,125,Yuma,3550
G0900010,1970,Connecticut,9,Fairfield,1,Fairfield,254618
G0900030,1970,Connecticut,9,Hartford,3,Hartford,262881
G0900050,1970,Connecticut,9,Litchfield,5,Litchfield,51052
G0900070,1970,Connecticut,9,Middlesex,7,Middlesex,38314
G0900090,1970,Connecticut,9,New Haven,9,New Haven,242851
G0900110,1970,Connecticut,9,New London,11,New London,73324
G0900130,1970,Connecticut,9,Tolland,13,Tolland,29735
G0900150,1970,Connecticut,9,Windham,15,Windham,28383
G1000010,1970,Delaware,10,Kent,1,Kent,25242
G1000030,1970,Delaware,10,New Castle,3,New Castle,120704
G1000050,1970,Delaware,10,Sussex,5,Sussex,34287
G1100010,1970,District Of Columbia,11,District Of Columbia,1,District Of Columbia,278444
G1200010,1970,Florida,12,Alachua,1,Alachua,33538
G1200030,1970,Florida,12,Baker,3,Baker,2352
G1200050,1970,Florida,12,Bay,5,Bay,26783
G1200070,1970,Florida,12,Bradford,7,Bradford,4625
G1200090,1970,Florida,12,Brevard,9,Brevard,77611
G1200110,1970,Florida,12,Broward,11,Broward,253316
G1200130,1970,Florida,12,Calhoun,13,Calhoun,2701
G1200150,1970,Florida,12,Charlotte,15,Charlotte,13566
G1200170,1970,Florida,12,Citrus,17,Citrus,9699
G1200190,1970,Florida,12,Clay,19,Clay,10985
G1200210,1970,Florida,12,Collier,21,Collier,17544
G1200230,1970,Florida,12,Columbia,23,Columbia,8450
G1200250,1970,Florida,12,Dade,25,Dade,453915
G1200270,1970,Florida,12,De Soto,27,De Soto,4080
G1200290,1970,Florida,12,Dixie,29,Dixie,1884
G1200310,1970,Florida,12,Duval,31,Duval,174312
G1200330,1970,Florida,12,Escambia,33,Escambia,65142
G1200350,1970,Florida,12,Flagler,35,Flagler,1857
G1200370,1970,Florida,12,Franklin,37,Franklin,3409
G1200390,1970,Florida,12,Gadsden,39,Gadsden,10267
G1200410,1970,Florida,12,Gilchrist,41,Gilchrist,1253
G1200430,1970,Florida,12,Glades,43,Glades,1445
G1200450,1970,Florida,12,Gulf,45,Gulf,3792
G1200470,1970,Florida,12,Hamilton,47,Hamilton,2562
G1200490,1970,Florida,12,Hardee,49,Hardee,4797
G1200510,1970,Florida,12,Hendry,51,Hendry,3946
G1200530,1970,Florida,12,Hernando,53,Hernando,7531
G1200550,1970,Florida,12,Highlands,55,Highlands,12416
G1200570,1970,Florida,12,Hillsborough,57,Hillsborough,168555
G1200590,1970,Florida,12,Holmes,59,Holmes,4065
G1200610,1970,Florida,12,Indian River,61,Indian River,14008
G1200630,1970,Florida,12,Jackson,63,Jackson,11362
G1200650,1970,Florida,12,Jefferson,65,Jefferson,2683
G1200670,1970,Florida,12,Lafayette,67,Lafayette,1036
G1200690,1970,Florida,12,Lake,69,Lake,28179
G1200710,1970,Florida,12,Lee,71,Lee,43339
G1200730,1970,Florida,12,Leon,73,Leon,32576
G1200750,1970,Florida,12,Levy,75,Levy,4760
G1200770,1970,Florida,12,Liberty,77,Liberty,1288
G1200790,1970,Florida,12,Madison,79,Madison,4265
G1200810,1970,Florida,12,Manatee,81,Manatee,42269
G1200830,1970,Florida,12,Marion,83,Marion,25882
G1200850,1970,Florida,12,Martin,85,Martin,12307
G1200870,1970,Florida,12,Monroe,87,Monroe,20596
G1200890,1970,Florida,12,Nassau,89,Nassau,6785
G1200910,1970,Florida,12,Okaloosa,91,Okaloosa,27149
G1200930,1970,Florida,12,Okeechobee,93,Okeechobee,3704
G1200950,1970,Florida,12,Orange,95,Orange,117295
G1200970,1970,Florida,12,Osceola,97,Osceola,10521
G1200990,1970,Florida,12,Palm Beach,99,Palm Beach,141232
G1201010,1970,Florida,12,Pasco,101,Pasco,34590
G1201030,1970,Florida,12,Pinellas,103,Pinellas,228772
G1201050,1970,Florida,12,Polk,105,Polk,80325
G1201070,1970,Florida,12,Putnam,107,Putnam,13010
G1201090,1970,Florida,12,St Johns,109,St Johns,11689
G1201110,1970,Florida,12,St Lucie,111,St Lucie,18862
G1201130,1970,Florida,12,Santa Rosa,113,Santa Rosa,12130
G1201150,1970,Florida,12,Sarasota,115,Sarasota,55480
G1201170,1970,Florida,12,Seminole,117,Seminole,28446
G1201190,1970,Florida,12,Sumter,119,Sumter,5274
G1201210,1970,Florida,12,Suwannee,121,Suwannee,5227
G1201230,1970,Florida,12,Taylor,123,Taylor,4991
G1201250,1970,Florida,12,Union,125,Union,1745
G1201270,1970,Florida,12,Volusia,127,Volusia,70397
G1201290,1970,Florida,12,Wakulla,129,Wakulla,2725
G1201310,1970,Florida,12,Walton,131,Walton,6564
G1201330,1970,Florida,12,Washington,133,Washington,4219
G1300010,1970,Georgia,13,Appling,1,Appling,3938
G1300030,1970,Georgia,13,Atkinson,3,Atkinson,1778
G1300050,1970,Georgia,13,Bacon,5,Bacon,2784
G1300070,1970,Georgia,13,Baker,7,Baker,1175
G1300090,1970,Georgia,13,Baldwin,9,Baldwin,7975
G1300110,1970,Georgia,13,Banks,11,Banks,2305
G1300130,1970,Georgia,13,Barrow,13,Barrow,5682
G1300150,1970,Georgia,13,Bartow,15,Bartow,10431
G1300170,1970,Georgia,13,Ben Hill,17,Ben Hill,4562
G1300190,1970,Georgia,13,Berrien,19,Berrien,3854
G1300210,1970,Georgia,13,Bibb,21,Bibb,47299
G1300230,1970,Georgia,13,Bleckley,23,Bleckley,3210
G1300250,1970,Georgia,13,Brantley,25,Brantley,1871
G1300270,1970,Georgia,13,Brooks,27,Brooks,4352
G1300290,1970,Georgia,13,Bryan,29,Bryan,1934
G1300310,1970,Georgia,13,Bulloch,31,Bulloch,10544
G1300330,1970,Georgia,13,Burke,33,Burke,5551
G1300350,1970,Georgia,13,Butts,35,Butts,3666
G1300370,1970,Georgia,13,Calhoun,37,Calhoun,2131
G1300390,1970,Georgia,13,Camden,39,Camden,3520
G1300430,1970,Georgia,13,Candler,43,Candler,2143
G1300450,1970,Georgia,13,Carroll,45,Carroll,14566
G1300470,1970,Georgia,13,Catoosa,47,Catoosa,8813
G1300490,1970,Georgia,13,Charlton,49,Charlton,1664
G1300510,1970,Georgia,13,Chatham,51,Chatham,61863
G1300530,1970,Georgia,13,Chattahoochee,53,Chattahoochee,2157
G1300550,1970,Georgia,13,Chattooga,55,Chattooga,6817
G1300570,1970,Georgia,13,Cherokee,57,Cherokee,9926
G1300590,1970,Georgia,13,Clarke,59,Clarke,20507
G1300610,1970,Georgia,13,Clay,61,Clay,1276
G1300630,1970,Georgia,13,Clayton,63,Clayton,29435
G1300650,1970,Georgia,13,Clinch,65,Clinch,1999
G1300670,1970,Georgia,13,Cobb,67,Cobb,61191
G1300690,1970,Georgia,13,Coffee,69,Coffee,7160
G1300710,1970,Georgia,13,Colquitt,71,Colquitt,10350
G1300730,1970,Georgia,13,Columbia,73,Columbia,6742
G1300750,1970,Georgia,13,Cook,75,Cook,3916
G1300770,1970,Georgia,13,Coweta,77,Coweta,10192
G1300790,1970,Georgia,13,Crawford,79,Crawford,1652
G1300810,1970,Georgia,13,Crisp,81,Crisp,6087
G1300830,1970,Georgia,13,Dade,83,Dade,2992
G1300850,1970,Georgia,13,Dawson,85,Dawson,1342
G1300870,1970,Georgia,13,Decatur,87,Decatur,7153
G1300890,1970,Georgia,13,DeKalb,89,De Kalb,129679
G1300910,1970,Georgia,13,Dodge,91,Dodge,5532
G1300930,1970,Georgia,13,Dooly,93,Dooly,3439
G1300950,1970,Georgia,13,Dougherty,95,Dougherty,27042
G1300970,1970,Georgia,13,Douglas,97,Douglas,8698
G1300990,1970,Georgia,13,Early,99,Early,4081
G1301010,1970,Georgia,13,Echols,101,Echols,621
G1301030,1970,Georgia,13,Effingham,103,Effingham,3987
G1301050,1970,Georgia,13,Elbert,105,Elbert,5796
G1301070,1970,Georgia,13,Emanuel,107,Emanuel,6301
G1301090,1970,Georgia,13,Evans,109,Evans,2364
G1301110,1970,Georgia,13,Fannin,111,Fannin,4893
G1301130,1970,Georgia,13,Fayette,113,Fayette,3438
G1301150,1970,Georgia,13,Floyd,115,Floyd,24068
G1301170,1970,Georgia,13,Forsyth,117,Forsyth,5982
G1301190,1970,Georgia,13,Franklin,119,Franklin,4395
G1301210,1970,Georgia,13,Fulton,121,Fulton,207822
G1301230,1970,Georgia,13,Gilmer,123,Gilmer,3148
G1301250,1970,Georgia,13,Glascock,125,Glascock,875
G1301270,1970,Georgia,13,Glynn,127,Glynn,16562
G1301290,1970,Georgia,13,Gordon,129,Gordon,7746
G1301310,1970,Georgia,13,Grady,131,Grady,5999
G1301330,1970,Georgia,13,Greene,133,Greene,3262
G1301350,1970,Georgia,13,Gwinnett,135,Gwinnett,22233
G1301370,1970,Georgia,13,Habersham,137,Habersham,6526
G1301390,1970,Georgia,13,Hall,139,Hall,19657
G1301410,1970,Georgia,13,Hancock,141,Hancock,2497
G1301430,1970,Georgia,13,Haralson,143,Haralson,5434
G1301450,1970,Georgia,13,Harris,145,Harris,4108
G1301470,1970,Georgia,13,Hart,147,Hart,4977
G1301490,1970,Georgia,13,Heard,149,Heard,1817
